Id	Title	Author
19337	A Christmas Carol	Charles Dickens
15492	A Doll's House	Henrik Ibsen
913	A Hero of Our Time	Mikhail Yurevich Lermontov
376	A Journal of the Plague Year	Daniel Defoe
31984	A Life Sentence	Adeline Sergeant
146	A Little Princess	Frances Hodgson Burnett
1778	A Midsummer Night's Dream	William Shakespeare
1080	A Modest Proposal	Jonathan Swift
4217	A Portrait of the Artist as a Young Man	James Joyce
6709	A Strange Manuscript Found in a Copper Cylinder	James De Mille
98	A Tale of Two Cities	Charles Dickens
854	A Woman of No Importance	Oscar Wilde
76	Adventures of Huckleberry Finn	Mark Twain
14417	Agamemnon	Aeschylus
10523	Alcestis	Euripides
28885	Alice in Wonderland	Lewis Carroll
2062	All For Love	John Dryden
1791	All's Well That Ends Well	William Shakespeare
6098	Amelia	Henry Fielding
10376	American Indian Stories	Zitkala-Sa
885	An Ideal Husband	Oscar Wilde
524	Ann Veronica	H.G. Wells
1249	Anthem	Ayn Rand
1796	Antony and Cleopatra	William Shakespeare
9915	Appeal to the Christian Women of the South	Angelina Grimke
55822	Argonauts of the Western Pacific	Bronislaw Malinowski
2154	Around the World in 80 Days	Jules Verne
1121	As You Like It	William Shakespeare
23810	At Fault	Kate Chopin
2432	Barchester Towers	Anthony Trollope
917	Barnaby Rudge	Charles Dickens
49461	Bartholomew Fair	Ben Jonson
981	Beowulf	Anonymous
271	Black Beauty	Anna Sewell
1023	Bleak House	Charles Dickens
11323	Caleb Williams	William Godwin
19942	Candide	Voltaire
171	Charlotte Temple	Susanna Rowson
2142	Childhood	Leo Tolstoy
2046	Clotel; or, The President's Daughter	William Wells Brown
1769	Comedy of Errors	William Shakespeare
1797	Coriolanus	William Shakespeare
57539	Cranford	Elizabeth Gaskell
2554	Crime and Punishment	Fyodor Dostoevsky
1999	Crome Yellow	Aldous Huxley
1799	Cymbeline	William Shakespeare
3771	Cynthia's Revels	Ben Jonson
1254	Cyrano De Bergerac	Edmond Rostand
208	Daisy Miller	Henry James
921	De Profundis	Oscar Wilde
1081	Dead Souls	Nikolai Gogol
502	Desert Gold	Zane Grey
2814	Dubliners	James Joyce
20288	Edward II	Christopher Marlowe
2447	Eminent Victorians	Lytton Strachey
8157	Esther Waters	George Augustus Moore
1715	Eugenie Grandet	Honore de Balzac
6053	Evelina	Frances Burney
3694	Every Man in His Humour	Ben Jonson
55945	Exiles	James Joyce
47935	Fathers and Sons	Ivan Turgenev
3424	For the Term of His Natural Life	Marcus Clarke
84	Frankenstein	Mary Shelley
31160	Free Joe, and Other Georgian Sketches	Joel Chandler Harris
11012	Autobiography of an Ex-Colored Man	James Weldon Johnson
2467	Ghosts	Henrik Ibsen
1400	Great Expectations	Charles Dickens
942	Green Mansions	William H. Hudson
1787	Hamlet	William Shakespeare
786	Hard Times	Charles Dickens
5140	He Knew He Was Right	Anthony Trollope
219	Heart of Darkness	Joseph Conrad
4093	Hedda Gabler	Henrik Ibsen
2253	Henry V	William Shakespeare
1765	Henry VI Part 1	William Shakespeare
2255	Henry VI Part 2	William Shakespeare
2256	Henry VI Part 3	William Shakespeare
2258	Henry VIII	William Shakespeare
3837	Hospital Sketches	Louisa May Alcott
2852	Hound of the Baskervilles	Arthur Conan Doyle
45502	How the Other Half Lives	Jacob A. Riis
2891	Howards End	E.M. Forster
849	Idle Thoughts of an Idle Fellow	Jerome K. Jerome
6150	Iliad	Homer
353	In Flanders Fields and Other Poems	John McCrae
4540	In His Steps	Charles M. Sheldon
12352	Iola Leroy	Frances Ellen Watkins Harper
82	Ivanhoe	Sir Walter Scott
5670	Jacob's Room	Virginia Woolf
1785	Julius Caesar	William Shakespeare
421	Kidnapped	Robert Louis Stevenson
35555	Kim	Rudyard Kipling
1780	King Henry IV, Part 1	William Shakespeare
1775	King John	William Shakespeare
1794	King Lear	William Shakespeare
8954	Lady Audley's Secret	Mary Braddon
27681	Last of the Mohicans	James Fenimore Cooper
46853	Le Morte d'Arthur	Sir Thomas Malory
1322	Leaves of Grass	Walt Whitman
4666	Letters from an American Farmer	J. Hector St. John de Crevecoeur
2587	Life is a Dream	Pedro Calderón de la Barca
963	Little Dorrit	Charles Dickens
37106	Little Women	Louisa May Alcott
16517	Liza of Lambeth	W. Somerset Maugham
25439	Looking Backward	Edward Bellamy
1774	Love's Labour's Lost	William Shakespeare
7700	Lysistrata	Aristophanes
1795	Macbeth	William Shakespeare
27575	Madame Bovary	Gustave Flaubert
447	Maggie: A Girl of the Streets	Stephen Crane
