BookId	Title	Author
19942	Candide	François Voltaire
19337	A Christmas Carol	Charles Dickens
15492	A Doll's House	Henrik Ibsen
146	A Little Princess	Frances Hodgson Burnett
1778	A Midsummer Night's Dream	William Shakespeare
1080	A Modest Proposal	Jonathan Swift
98	A Tale of Two Cities	Charles Dickens
14417	Agamemnon	Aeschylus
28885	Alice in Wonderland	Lewis Carroll
885	An Ideal Husband	Oscar Wilde
1597	Andersen's Fairy Tales	Hans Christian Andersen
1249	Anthem	Ayn Rand
1796	Antony and Cleopatra	William Shakespeare
1121	As You Like It	William Shakespeare
981	Beowulf	Anonymous
1023	Bleak House	Charles Dickens
15067	Cathedral	Joris-Karl Huysmans
1797	Coriolanus	William Shakespeare
1254	Cyrano de Bergerac	Edmond Rostand
84	Frankenstein	Mary Shelley
30338	Freedom	Mack Reynolds
2467	Ghosts	Henrik Ibsen
1400	Great Expectations	Charles Dickens
942	Green Mansions	William H. Hudson
1787	Hamlet	William Shakespeare
786	Hard Times	Charles Dickens
4093	Hedda Gabler	Henrik Ibsen
1765	Henry VI Part 1	William Shakespeare
2255	Henry VI Part 2	William Shakespeare
2256	Henry VI Part 3	William Shakespeare
2852	Hound of the Baskervilles	Arthur Conan Doyle
2891	Howards End	E. M. Forster
41537	Inferno	Dante Alighieri
12352	Iola Leroy	Frances Harper
421	Kidnapped	Robert Louis Stevenson
46853	Le Morte D'Arthur	Malory, Thomas
963	Little Dorrit	Charles Dickens
37106	Little Women	Louisa May Alcott
1774	Love's Labour's Lost	William Shakespeare
7700	Lysistrata	Aristophanes
27575	Madame Bovary	Gustave Flaubert
447	Maggie: A Girl of the Streets	Stephen Crane
51565	Major Barbara	George Bernard Shaw
1783	Much Ado About Nothing	William Shakespeare
4276	North and South	Elizabeth Cleghorn Gaskell
1793	Othello	William Shakespeare
20	Paradise Lost	John Milton
1977	Phaedra	Jean Racine
2250	Richard II	William Shakespeare
2257	Richard III	William Shakespeare
521	Robinson Crusoe	Daniel Defoe
1777	Romeo and Juliet	William Shakespeare
42704	Salomé	Oscar Wilde
58344	Siddhartha	Hermann Hesse
550	Silas Marner	George Eliot
5267	Sister Carrie	Theodore Dreiser
43	Strange Case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson
28488	Tartuffe	Jean-Baptiste Poquelin Moliere
74	The Adventures of Tom Sawyer	Mark Twain
541	The Age of Innocence	Edith Wharton
4081	The Alchemist	Ben Jonson
177	The American	Henry James
148	The Autobiography of Benjamin Franklin	Benjamin Franklin
160	The Awakening	Kate Chopin
28054	The Brothers Karamazov	Fyodor Dostoevsky
2562	The Clouds	Aristophanes
1769	The Comedy of Errors	William Shakespeare
2232	The Duchess of Malfi	John Webster
2044	The Education of Henry Adams	Henry Adams
932	The Fall of the House of Usher	Edgar Allan Poe
2775	The Good Soldier	Ford Madox Ford
2638	The Idiot	Fyodor Dostoevsky
6150	The Iliad	Homer
140	The Jungle	Upton Sinclair
236	The Jungle Book	Rudyard Kipling
1132	The Life of Timon of Athens	William Shakespeare
143	The Mayor of Casterbridge	Thomas Hardy
1779	The Merchant of Venice	William Shakespeare
5200	The Metamorphosis	Franz Kafka
12122	The Monkey's Paq	W.W. Jacobs
1728	The Odyssey	Homer
580	The Pickwick Papers	Charles Dickens
26740	The Picture of Dorian Gray	Oscar Wilde
2833	The Portrait of a Lady	Henry James
463	The Red Badge of Courage	Stephen Crane
44747	The Red and the Black	Stendhal
221	The Return of Sherlock Holmes	Arthur Conan Doyle
1754	The Seagull	Anton Chekhov
2527	The Sorrows of Young Werther	Johann Wolfgang von Goethe
1772	The Taming of the Shrew	William Shakespeare
1135	The Tempest	William Shakespeare
35	The Time Machine	H. G. Wells
7849	The Trial	Franz Kafka
1773	The Two Gentlemen of Verona	William Shakespeare
11757	The Velveteen Rabbit	Margery Williams
583	The Woman in White	Collins, Wilkie
43936	The Wonderful Wizard of Oz	L. Frank Baum
1952	The Yellow Wallpaper	Charlotte Perkins Gilman
1771	Titus Andronicus	William Shakespeare
27780	Treasure Island	Robert Louis Stevenson
2247	Twelfth Night	William Shakespeare
4300	Ulysses	James Joyce
1756	Uncle Vanya	Anton Chekhov
599	Vanity Fair	William Makepeace Thackeray
2948	Where Angels Fear to Tread	Forster, E. M
2253	Henry V	William Shakespeare
1063	The Cask of Amontillado	Edgar Allan Poe
2258	Henry VIII	William Shakespeare
1780	King Henry IV, Part 1	William Shakespeare
1126	Measure for Measure	William Shakespeare
1123	Twelfth Night, or What You Will	William Shakespeare
